experiment_id,run_index,algorithm,eval_f1_reconstruction,eval_f2_security,eval_f3_robustness,eval_f4_complexity
IMG_0006,4,EHHO-VC,0.5120749259114445,0.0022501058261861,0.0582257311229273,0.0352941176470588
IMG_0006,4,BDA-EHHO-VC-Calibrated,0.5123817494178283,0.0021695081497216,0.0583739742618247,0.261437908496732
IMG_0006,4,HHO-VC,0.5120749259114445,0.0022501058261861,0.0582257311229273,0.0352941176470588
IMG_0006,4,BEHHO-VC-Calibrated,0.4904119299768708,0.0020419442914825,0.0583833294113667,0.0522875816993464
IMG_0006,4,MO-BDA-EHHO-VC,0.498436819585048,0.0017196731607986,0.058314245230133,0.3843137254901961
IMG_0006,5,BEHHO-VC-Calibrated,0.5005878012852325,0.0021405632061651,0.0583768527693761,0.5176470588235295
IMG_0006,5,EHHO-VC,0.4984674756904704,0.0024833100977759,0.0584747220261238,0.6549019607843137
IMG_0006,5,HHO-VC,0.4930860465597285,0.0023778015060737,0.0583372732905443,0.2418300653594771
IMG_0006,5,BDA-EHHO-VC-Calibrated,0.4996902064349164,0.0024239044382643,0.0584049182180023,0.4679738562091503
IMG_0006,5,MO-BDA-EHHO-VC,0.4849881190555338,0.0023033846183335,0.0582530769446657,0.1006535947712418
IMG_0007,1,BEHHO-VC-Calibrated,0.4067629596002221,0.00197744736805,0.0580623758193851,0.4444444444444444
IMG_0007,1,EHHO-VC,0.4033655841302792,0.0018578255361342,0.0580278337287683,0.3647058823529411
IMG_0007,1,BDA-EHHO-VC-Calibrated,0.4080513033844427,0.00194336790521,0.0580213570867776,0.4156862745098039
