run_key,mechanism,variant,experiment_id,filename,run_index,population_size,evaluation_budget,seed,best_score,level_R,level_G,level_B,evaluations,runtime_s,diversity_threshold,injection_fraction,injection_count,mean_diversity,final_diversity,rho_max,rho_min,bda_proposals,ehho_proposals,bda_fraction
BEHHO|IMG_0065|r2|thr0.70_frac0.30,BEHHO,thr0.70_frac0.30,IMG_0065,304074.jpg,2,20,400,1234979416,5.243292235229041,3,10,231,400,63.32419800001662,0.7,0.3,0,0.867,0.8454166666666666,,,,,
BEHHO|IMG_0065|r2|thr0.75_frac0.20,BEHHO,thr0.75_frac0.20,IMG_0065,304074.jpg,2,20,400,1234979416,5.243292235229041,3,10,231,400,55.38491989998147,0.75,0.2,1,0.8792500000000001,0.8724999999999999,,,,,
BEHHO|IMG_0065|r2|thr0.75_frac0.30,BEHHO,thr0.75_frac0.30,IMG_0065,304074.jpg,2,20,400,1234979416,5.243292235229041,3,10,231,400,58.86993240000447,0.75,0.3,1,0.8835625,0.9341666666666667,,,,,
BEHHO|IMG_0065|r2|thr0.80_frac0.20,BEHHO,thr0.80_frac0.20,IMG_0065,304074.jpg,2,20,400,1234979416,5.2434139105081,9,80,166,400,61.85492319997866,0.8,0.2,2,0.8927291666666667,0.9375,,,,,
BEHHO|IMG_0065|r2|thr0.80_frac0.30,BEHHO,thr0.80_frac0.30,IMG_0065,304074.jpg,2,20,400,1234979416,5.2434139105081,9,80,166,400,60.567016799992416,0.8,0.3,2,0.9029999999999999,0.93125,,,,,
HYBRID|IMG_0065|r2|balanced_80_20,HYBRID,balanced_80_20,IMG_0065,304074.jpg,2,20,400,1234979416,5.2431449312790415,65,14,168,400,62.80956690001767,,,,,,0.8,0.2,108,92,0.54
HYBRID|IMG_0065|r2|balanced_70_30,HYBRID,balanced_70_30,IMG_0065,304074.jpg,2,20,400,1234979416,5.24285315151559,13,14,160,400,60.954899000003934,,,,,,0.7,0.3,99,101,0.495
HYBRID|IMG_0065|r2|balanced_65_35,HYBRID,balanced_65_35,IMG_0065,304074.jpg,2,20,400,1234979416,5.242993738931206,5,11,220,400,56.69079520000378,,,,,,0.65,0.35,101,99,0.505
BEHHO|IMG_0067|r1|thr0.70_frac0.20,BEHHO,thr0.70_frac0.20,IMG_0067,3096.jpg,1,20,400,1774026926,5.812019250556882,255,159,207,400,47.92637669999385,0.7,0.2,3,0.7756458333333334,0.8470833333333333,,,,,
BEHHO|IMG_0067|r1|thr0.70_frac0.30,BEHHO,thr0.70_frac0.30,IMG_0067,3096.jpg,1,20,400,1774026926,5.812046081856924,255,123,187,400,52.94319899997208,0.7,0.3,6,0.7676666666666666,0.9,,,,,
BEHHO|IMG_0067|r1|thr0.75_frac0.20,BEHHO,thr0.75_frac0.20,IMG_0067,3096.jpg,1,20,400,1774026926,5.812082458227582,255,222,206,400,59.815640999993775,0.75,0.2,5,0.7773333333333334,0.8241666666666667,,,,,
