experiment_id,run_index,algorithm,set_size,hypervolume,igd,epsilon_additive,mean_nn_distance,reference_front_size
IMG_0008,1,BDA-EHHO-VC-Calibrated,1,0.03415018301591868,1.060539082196862,1.0,0.0,29
IMG_0008,1,MO-BDA-EHHO-VC,28,0.5809470343685242,0.01954311616835976,0.3162201065481812,0.19427384043203458,29
IMG_0008,2,HHO-VC,1,0.12979757131085237,0.6708971033575485,0.7971473851029043,0.0,17
IMG_0008,2,EHHO-VC,1,0.0003179904198846955,1.400812273107239,1.0,0.0,17
IMG_0008,2,BEHHO-VC-Calibrated,1,0.2993233179954772,0.431167440732583,0.5863708399365108,0.0,17
IMG_0008,2,BDA-EHHO-VC-Calibrated,1,0.22367013262719185,0.48630212206258583,0.6164817749603403,0.0,17
IMG_0008,2,MO-BDA-EHHO-VC,17,1.1932929261102174,0.0,0.0,0.23431803854250188,17
IMG_0008,3,HHO-VC,1,0.012198903849973904,1.0029952600146412,0.9314159292035397,0.0,19
IMG_0008,3,EHHO-VC,1,0.28756806203856894,0.5634890265189988,0.7392241379310533,0.0,19
IMG_0008,3,BEHHO-VC-Calibrated,1,0.03158703333140882,0.8357095509799093,1.0,0.0,19
IMG_0008,3,BDA-EHHO-VC-Calibrated,1,0.02006637410133899,1.0448732172811812,0.9247787610619468,0.0,19
IMG_0008,3,MO-BDA-EHHO-VC,18,1.0340696559461586,0.01735044509223971,0.10775862068976794,0.2694796816001389,19
IMG_0008,4,HHO-VC,1,0.20755291020682395,0.5045150252879845,0.5495283722131263,0.0,17
IMG_0008,4,EHHO-VC,1,0.20755291020682395,0.5045150252879845,0.5495283722131263,0.0,17
IMG_0008,4,BEHHO-VC-Calibrated,1,0.0019622929706961936,1.1702448176369724,1.0,0.0,17
IMG_0008,4,BDA-EHHO-VC-Calibrated,1,0.009595206274859597,0.7396939556818651,1.0,0.0,17
IMG_0008,4,MO-BDA-EHHO-VC,15,0.5987081134313282,0.022655328058521235,0.11860465116277519,0.27074312546787976,17
IMG_0008,5,HHO-VC,1,0.046799823184952974,0.6821850540897587,0.9267676767676216,0.0,29
IMG_0008,5,EHHO-VC,1,0.10529550835471398,0.6261919441583786,0.8838383838382359,0.0,29
IMG_0008,5,BEHHO-VC-Calibrated,1,0.05731958430692313,0.6306506486743435,0.8888888888887346,0.0,29
IMG_0008,5,BDA-EHHO-VC-Calibrated,1,0.10757625555070703,0.6158776132423838,0.5984848484846896,0.0,29
IMG_0008,5,MO-BDA-EHHO-VC,28,0.8040196713043076,0.005759171103494704,0.0450606585788562,0.19330866294009746,29
IMG_0009,1,HHO-VC,1,0.11032858071118729,0.5544382538434559,0.8750000000000383,0.0,15
IMG_0009,1,EHHO-VC,1,0.11032858071118729,0.5544382538434559,0.8750000000000383,0.0,15
IMG_0009,1,BEHHO-VC-Calibrated,1,0.20549695993615408,0.6785533853678554,0.881355932203565,0.0,15
IMG_0009,1,BDA-EHHO-VC-Calibrated,1,0.009422988585614231,0.9552145656846439,1.0,0.0,15
IMG_0009,1,MO-BDA-EHHO-VC,12,0.7025970223594389,0.023820929870768597,0.1918077227800117,0.3436079808858472,15
IMG_0009,2,HHO-VC,1,0.37168821763403015,0.5987143290129062,0.7618449982872124,0.0,8
IMG_0009,2,EHHO-VC,1,0.37168821763403015,0.5987143290129062,0.7618449982872124,0.0,8
IMG_0009,2,BEHHO-VC-Calibrated,1,0.05144695248356149,0.7544728946471215,0.7893982808023258,0.0,8
IMG_0009,2,BDA-EHHO-VC-Calibrated,1,0.00011319986930684175,1.4105516316911346,1.0,0.0,8
IMG_0009,2,MO-BDA-EHHO-VC,6,0.6419513675977999,0.07318128733008618,0.16332378223490535,0.5526240973147692,8
IMG_0009,3,HHO-VC,1,0.16503430473844355,0.751139468841968,0.8888888888887841,0.0,7
IMG_0009,3,EHHO-VC,1,0.16503430473844355,0.751139468841968,0.8888888888887841,0.0,7
IMG_0009,3,BEHHO-VC-Calibrated,1,0.062168635013399136,0.7823918833875455,1.0,0.0,7
IMG_0009,3,BDA-EHHO-VC-Calibrated,1,0.029070015514388852,0.8276740921208912,1.0,0.0,7
IMG_0009,3,MO-BDA-EHHO-VC,6,0.24612951505319863,0.12238893666509489,0.15081615745357443,0.6256294174116511,7
IMG_0009,4,HHO-VC,1,0.031150276287055995,0.7240126027738569,0.91527777777764,0.0,16
IMG_0009,4,EHHO-VC,1,0.22097144583481498,0.544701832911922,0.6388888888889406,0.0,16
IMG_0009,4,BEHHO-VC-Calibrated,1,0.05081708837935271,0.7168303128742697,0.8513888888888558,0.0,16
IMG_0009,4,BDA-EHHO-VC-Calibrated,1,0.014302614101788978,0.9676291430995969,1.0,0.0,16
IMG_0009,4,MO-BDA-EHHO-VC,14,0.7202422747839731,0.04830979348575092,0.07076923076923082,0.22243804031579192,16
IMG_0009,5,HHO-VC,1,0.30773750402847366,0.6764057516545319,0.6602688238707864,0.0,16
IMG_0009,5,EHHO-VC,1,0.00775719457326985,0.926218776726048,1.0,0.0,16
IMG_0009,5,BEHHO-VC-Calibrated,1,0.0012419891514753572,1.108381003929419,1.0,0.0,16
IMG_0009,5,BDA-EHHO-VC-Calibrated,1,0.009649442686913617,0.9703380896622913,0.9531249999999997,0.0,16
IMG_0009,5,MO-BDA-EHHO-VC,14,0.6043430975391022,0.05375884225493119,0.06196540169476426,0.3365397411134314,16
IMG_0010,1,HHO-VC,1,0.03314752570662289,0.706174374198484,0.9060700061390268,0.0,30
IMG_0010,1,EHHO-VC,1,0.01888917693100532,0.7478612258957374,1.0,0.0,30
IMG_0010,1,BEHHO-VC-Calibrated,1,0.0726324937748637,0.6307148661909723,0.6915016878284828,0.0,30
IMG_0010,1,BDA-EHHO-VC-Calibrated,1,0.04524478311392171,0.7091385780259929,0.7642857142856121,0.0,30
IMG_0010,1,MO-BDA-EHHO-VC,30,0.8116034372001784,0.0,0.0,0.18580709544690915,30
IMG_0010,2,HHO-VC,1,0.0006045527988988921,1.1909878820078441,1.0,0.0,28
IMG_0010,2,EHHO-VC,1,0.0006045527988988921,1.1909878820078441,1.0,0.0,28
IMG_0010,2,BEHHO-VC-Calibrated,1,0.15609402547585868,0.6824110136340076,0.7138689725333047,0.0,28
IMG_0010,2,BDA-EHHO-VC-Calibrated,1,0.22124281241809624,0.4952465650909185,0.5244755244756055,0.0,28
IMG_0010,2,MO-BDA-EHHO-VC,27,0.9578925857982135,0.012848489270176637,0.020979020978979745,0.19775061438867644,28
IMG_0010,3,HHO-VC,1,0.29846065584509857,0.7215713543898103,0.5726648563623741,0.0,38
IMG_0010,3,EHHO-VC,1,0.16274086848866992,0.5614329163339714,0.7799326857670889,0.0,38
IMG_0010,3,BEHHO-VC-Calibrated,1,0.360348718097619,0.7517830550478352,0.5689810766347139,0.0,38
IMG_0010,3,BDA-EHHO-VC-Calibrated,1,0.10947195334294055,0.7452457467829777,0.7441004926446203,0.0,38
IMG_0010,3,MO-BDA-EHHO-VC,34,0.6697593336127529,0.02535726647772418,0.18965517241376056,0.1992355190299808,38
IMG_0010,4,HHO-VC,1,0.31897335324595155,0.4357616715584319,0.5121233092851806,0.0,35
IMG_0010,4,EHHO-VC,1,0.31897335324595155,0.4357616715584319,0.5121233092851806,0.0,35
IMG_0010,4,BEHHO-VC-Calibrated,1,0.20170842546708945,0.47691625602906934,0.7443644784050023,0.0,35
IMG_0010,4,BDA-EHHO-VC-Calibrated,1,0.02398302374340697,0.7385684057902623,1.0,0.0,35
IMG_0010,4,MO-BDA-EHHO-VC,33,0.9575185035437198,0.00588226833806412,0.03155747786455734,0.1473466347793733,35
IMG_0010,5,HHO-VC,1,0.012842555658399668,1.088928763690115,1.0,0.0,42
IMG_0010,5,EHHO-VC,1,0.01960467503714605,0.9596167392102048,1.0,0.0,42
IMG_0010,5,BEHHO-VC-Calibrated,1,0.0271374875582846,0.8664033083654947,0.8690243322583662,0.0,42
