experiment_id,algorithm,median_score,mean_score,sd_across_runs,median_runtime_s
IMG_0060,BEHHO-VC-Calibrated,5.2886799401055296,5.2881481291848536,0.003197421507473162,36.73872800002573
IMG_0060,EHHO-VC,5.287858759820053,5.287793912883165,0.003256479053972289,25.236240199999884
IMG_0060,HHO-VC,5.288124221320654,5.287889463437859,0.0033413413981740804,19.90321269998094
IMG_0061,BDA-EHHO-VC-Calibrated,5.568520665562978,5.568631654306683,0.0009207056440241252,18.587593200034465
IMG_0061,BEHHO-VC-Calibrated,5.568963057483077,5.568859091654521,0.0007600423339291795,30.609392200014558
IMG_0061,EHHO-VC,5.568519996423329,5.568942997789619,0.0006534109665234613,15.6928753000102
IMG_0061,HHO-VC,5.568472117442369,5.568792473827156,0.0008688921960905648,12.438753299997188
IMG_0062,BDA-EHHO-VC-Calibrated,5.097568832507958,5.0985533089293655,0.002099424340139599,11.857116899976972
IMG_0062,BEHHO-VC-Calibrated,5.097759168546417,5.098332442137469,0.0017929089344559737,20.943081100005656
IMG_0062,EHHO-VC,5.098268019565919,5.098751215891751,0.00210182147254161,7.501402899972163
IMG_0062,HHO-VC,5.098268019565919,5.098898861771618,0.0021504600883169795,14.969206899986602
IMG_0063,BDA-EHHO-VC-Calibrated,4.038099160806863,4.040009984918127,0.003905850057401719,21.88929689995712
IMG_0063,BEHHO-VC-Calibrated,4.038184884962198,4.039954925384266,0.003592544711987413,23.818685600010213
IMG_0063,EHHO-VC,4.039233467271977,4.040798972917417,0.0033962420954290326,14.365264300024135
IMG_0063,HHO-VC,4.039233467271977,4.041011318086726,0.0037602964736030615,13.126204299973324
IMG_0064,BDA-EHHO-VC-Calibrated,5.041479244215049,5.040770147914836,0.0016211756940859505,13.856594199954998
IMG_0064,BEHHO-VC-Calibrated,5.04131055098017,5.040455489835112,0.0015301558915350659,12.844358899979852
IMG_0064,EHHO-VC,5.041208518975215,5.040773329476467,0.0018423051266286592,7.466826100018807
IMG_0064,HHO-VC,5.041083290520774,5.04048597807928,0.0016447325503832022,9.85234219999984
IMG_0065,BDA-EHHO-VC-Calibrated,5.244465420400025,5.244867140978046,0.002631499425011057,13.751699899963567
IMG_0065,BEHHO-VC-Calibrated,5.243900325125737,5.244605047376326,0.0025925216354006266,18.91502740001306
IMG_0065,EHHO-VC,5.243807739798407,5.2444016201358545,0.002480820913211415,6.604272400029004
IMG_0065,HHO-VC,5.244069464638617,5.244718348398807,0.002832673689375751,8.34458039997844
