experiment_id,run_index,archive_file,archive_row,bits,level_R,level_G,level_B,old_f1_reconstruction,old_f2_security,old_f3_robustness,old_f4_complexity
IMG_0015,2,IMG_0015_r2_archive.csv,28,000100000001111000010000,16,30,16,0.4479716070389679,0.3387056618436863,0.0,0.0810457516339869
IMG_0015,2,IMG_0015_r2_archive.csv,29,000101101011000100101100,22,177,44,0.4566660798345952,0.3382618710151288,0.0,0.3176470588235294
IMG_0015,2,IMG_0015_r2_archive.csv,30,000011110000100000000000,15,8,2,0.4643982082923971,0.3386268649893935,0.0,0.0326797385620915
IMG_0015,2,IMG_0015_r2_archive.csv,31,000010001100111000000100,8,206,4,0.468601227228786,0.3383321090484584,0.0,0.2849673202614379
IMG_0015,2,IMG_0015_r2_archive.csv,32,001100000011011000100001,48,54,33,0.4446080201679593,0.3386003227064718,0.0,0.1764705882352941
IMG_0015,2,IMG_0015_r2_archive.csv,33,000110000010000000100101,24,32,37,0.4459174786516894,0.3386062339651239,0.0,0.1215686274509803
IMG_0015,2,IMG_0015_r2_archive.csv,34,000101100011100000110001,22,56,49,0.4455304463790057,0.3385897031642542,0.0,0.1660130718954248
IMG_0015,2,IMG_0015_r2_archive.csv,35,000101111110000000110000,23,224,48,0.4602804778415165,0.3382280124858282,0.0,0.3856209150326797
IMG_0034,1,IMG_0034_r1_archive.csv,0,000011011000111100111111,13,143,63,0.4162796505876629,0.3522474918952856,0.0,0.2862745098039215
IMG_0034,1,IMG_0034_r1_archive.csv,1,100111001100000100000110,156,193,6,0.4163853426119916,0.3522169911964627,0.0,0.4640522875816993
IMG_0034,1,IMG_0034_r1_archive.csv,2,101010100001111000110111,170,30,55,0.413852848600663,0.3523560946665882,0.0,0.3333333333333333
IMG_0034,1,IMG_0034_r1_archive.csv,5,000101010001000000101101,21,16,45,0.419168249847895,0.3526989054313277,0.0,0.1071895424836601
IMG_0034,1,IMG_0034_r1_archive.csv,7,010000001000100000001000,64,136,8,0.4183824342187588,0.3521354318554582,0.0,0.2718954248366013
IMG_0034,1,IMG_0034_r1_archive.csv,11,000010000010001001011000,8,34,88,0.4201168450790631,0.3523685042820247,0.0,0.1699346405228758
IMG_0034,1,IMG_0034_r1_archive.csv,12,011110011011100100011000,121,185,24,0.411952102334881,0.3523377089763759,0.0,0.4313725490196078
IMG_0034,1,IMG_0034_r1_archive.csv,13,101110010111111000011011,185,126,27,0.4112198777433931,0.3523324525503373,0.0,0.4418300653594771
IMG_0034,1,IMG_0034_r1_archive.csv,17,011101010100001100101011,117,67,43,0.4141363477296817,0.3525995272560155,0.0,0.2967320261437908
IMG_0034,1,IMG_0034_r1_archive.csv,18,111011011110101111001101,237,235,205,0.4089179606531308,0.352162313255649,0.0,0.8849673202614379
IMG_0034,1,IMG_0034_r1_archive.csv,19,110011000010011100110000,204,39,48,0.4134333484560392,0.3523533850342323,0.0,0.3803921568627451
IMG_0034,1,IMG_0034_r1_archive.csv,20,100100010010000101000110,145,33,70,0.4140372170093305,0.3523188816167477,0.0,0.3241830065359477
IMG_0034,1,IMG_0034_r1_archive.csv,22,000100101000000000100000,18,128,32,0.4163544833178008,0.3522670891687103,0.0,0.2326797385620915
IMG_0034,1,IMG_0034_r1_archive.csv,24,010010100010101000110010,74,42,50,0.4161898072872644,0.3525173645284787,0.0,0.2169934640522876
IMG_0034,1,IMG_0034_r1_archive.csv,26,100000000010101100100100,128,43,36,0.414537281500599,0.3525735942341957,0.0,0.2705882352941176
IMG_0034,1,IMG_0034_r1_archive.csv,28,000100100000000000000100,18,2,4,0.4385940612473182,0.3525648671609789,0.0,0.0313725490196078
IMG_0034,1,IMG_0034_r1_archive.csv,29,101011001000000101001110,172,129,78,0.4104601041413985,0.3521930065887754,0.0,0.4954248366013071
IMG_0034,1,IMG_0034_r1_archive.csv,30,001101101000110101001000,54,141,72,0.4138365257696069,0.3523106303468201,0.0,0.3490196078431372
IMG_0034,1,IMG_0034_r1_archive.csv,31,001010100011001100100000,42,51,32,0.4172654293634362,0.352546225868391,0.0,0.1633986928104575
IMG_0034,1,IMG_0034_r1_archive.csv,33,000000010001001000000000,2,18,2,0.4457899914778829,0.3526198649638054,0.0,0.0287581699346405
IMG_0034,1,IMG_0034_r1_archive.csv,34,101000111000001100110000,163,131,48,0.4112569935584089,0.3522519847337925,0.0,0.4470588235294118
IMG_0034,1,IMG_0034_r1_archive.csv,37,000101100010000100000001,22,33,2,0.4342350695326366,0.3524185793163588,0.0,0.0745098039215686
IMG_0034,1,IMG_0034_r1_archive.csv,41,000001100000000000000000,6,2,2,0.4502897337456296,0.3528610287235205,0.0,0.0130718954248366
IMG_0034,1,IMG_0034_r1_archive.csv,42,111011010111101101011111,237,123,95,0.4104454322190851,0.3520457187759847,0.0,0.5947712418300654
IMG_0034,1,IMG_0034_r1_archive.csv,43,000000000000000000000000,2,2,2,0.4565308714875919,0.3527450986333975,0.0,0.0078431372549019
IMG_0034,1,IMG_0034_r1_archive.csv,45,000000000010000000001000,2,32,8,0.4327296270156493,0.3524970801663694,0.0,0.0549019607843137
IMG_0034,1,IMG_0034_r1_archive.csv,46,000111110010000100101110,31,33,46,0.4176124673135528,0.3525191708389899,0.0,0.1437908496732026
IMG_0034,1,IMG_0034_r1_archive.csv,58,000100010110101101011001,17,107,89,0.4159826394055501,0.3523494662360135,0.0,0.2784313725490196
IMG_0034,1,IMG_0034_r1_archive.csv,66,001010000010011000011000,40,38,24,0.4177269387859132,0.3525376861441116,0.0,0.1333333333333333
IMG_0034,1,IMG_0034_r1_archive.csv,67,111111001111000110011111,252,241,159,0.4084515747002137,0.3522653552926203,0.0,0.8522875816993465
IMG_0034,1,IMG_0034_r1_archive.csv,68,101000100110100000110110,162,104,54,0.412188783385196,0.3523001771618712,0.0,0.4183006535947712
IMG_0034,1,IMG_0034_r1_archive.csv,69,110011100010100000111111,206,40,63,0.4129359084863617,0.3522560876405313,0.0,0.403921568627451
IMG_0034,1,IMG_0034_r1_archive.csv,70,101011100101000000101101,174,80,45,0.4127733828702902,0.352441762093491,0.0,0.3908496732026144
IMG_0034,1,IMG_0034_r1_archive.csv,76,100100101000011000100001,146,134,33,0.4115786329124837,0.3523648701548285,0.0,0.4091503267973856
